timestamp,x,y,z
,3.8956544,19.363413,55.516247
,-0.3828653,32.91206,83.71906
,-25.752478,29.758205,53.884285
,-47.71937,11.966933,2.262079
,-37.460976,1.0433079,-1.70297
,-11.976505,-10.806373,11.6183496
3001869,4.292877,-10.722621,5.545149
,15.331362,-6.7791085,8.167776
,16.41535,-4.020086,6.894749
,17.877417,4.83846,8.361602
,25.372004,22.541195,9.75906
,28.387068,32.947952,1.541814
,30.356432,15.608939,-2.621847
,35.20925,9.368236,1.692567
3001907,39.3418,14.426843,-0.001612
,33.988865,19.751064,-8.383968
,29.35859,16.776678,-8.238
,20.976233,9.698457,-6.809435
,8.5043955,5.4510446,-9.1162
,-0.28954187,13.984155,-0.853487
,-4.6518135,22.74459,25.430215
,-8.176567,23.551,37.188965
3001945,-10.629298,21.390205,49.352116
,-9.935354,18.688612,53.403313
,-14.958069,22.139185,37.337326
,-39.085762,3.328535,57.724903
,-59.068935,-9.370628,65.564068
,-37.362865,14.970033,49.23247
,-22.031506,29.109728,41.058298
,-8.707792,15.029856,41.484236
3001984,1.746823,10.660405,30.378749
,6.396243,5.671192,23.489567
,6.8580747,-4.8456388,21.5895977
,7.1189017,-8.413465,27.476151
,10.9284115,-11.433315,20.8166883
,11.0289135,-13.440965,15.6910793
,8.0641,-15.805158,13.558998
,5.460616,-8.798723,8.036166
3002022,0.911698,-0.234505,6.645886
,-2.60827,8.676684,4.592772
,-4.635063,14.173195,4.90385
,-7.4826236,17.200224,4.4826975
,-9.930569,17.303118,3.755254
,-11.995648,14.450772,4.226657
,-12.270833,10.351721,5.750939
,-10.55751,6.063629,7.380509
3002060,-7.420408,2.6369848,9.8739195
,-3.8166883,-0.4977249,11.6231356
,-1.8114314,-1.7133222,13.8293967
,-0.30629224,-1.7922882,15.7150084
,-0.23211208,3.3452854,33.616354
,-1.5553902,9.708028,49.474155
,-1.1797037,21.203558,59.37601
,35.130283,10.849445,41.639774
3002099,52.20129,-0.2680057,-7.235373
,24.376554,5.941591,-7.098978
,5.494117,-4.3670573,14.7889528
,1.9669704,-6.692964,3.626037
,-10.669977,4.319199,6.877998
,-18.903975,17.702734,20.0366004
,-41.914177,40.421005,11.290521
,-66.11605,48.30803,-19.448776
3002137,-62.423794,40.375538,-3.418684
,-35.43179,8.848974,7.524084
,-35.242752,7.3773355,-3.473722
,-31.619888,13.7329,-11.119062
,-21.318419,15.261968,-4.782642
,-13.283032,13.512752,-8.876907
,-5.6329055,14.1468725,-7.649345
,-0.11485959,16.853252,1.749997
3002175,4.9102473,18.200459,42.09682
,-4.0176926,7.288798,61.981888
,-18.542645,16.123415,42.199715
,31.31838,13.7664,32.455793
,78.32227,-2.6920216,52.00585
,77.810196,2.08183,55.683754
,48.626286,13.026992,45.353567
,30.208073,37.13315,30.878867
3002214,9.688885,-16.862823,64.90602
,-10.332577,10.873374,44.169079
,-18.23396,11.78268,33.939396
,-17.865452,10.559903,23.982506
,-13.886045,-0.8997334,25.813081
,-11.064807,-7.0734363,17.8877689
,-7.4563017,-8.662328,7.332651
,-4.6996713,-10.440258,-2.784565
3002252,-0.11246668,-10.519224,-6.881224
,2.4981961,-6.5422106,-2.95446
,5.0968943,-3.153853,2.6114435
,9.767851,3.4984317,2.039538
,13.072457,9.0571575,4.176406
,15.190181,13.18253,7.375724
,15.281111,15.376827,10.0581737
,14.039192,12.333048,12.0107865
3002291,11.351956,10.282326,18.0576653
,9.655384,13.2016735,21.3024487
,8.937511,20.61251,46.181515
,5.623334,37.28151,76.21969
,-9.877925,43.017307,80.31156
,-50.710506,27.245651,23.8389316
,-48.85361,13.8453665,-9.884323
,-20.665154,0.8925547,3.929936
3002330,-3.3165705,-3.9482985,18.9238981
,-4.55849,-0.46661708,7.3087225
,2.3665862,-0.43072346,14.0710804
,22.325832,0.5551547,10.486504
,36.07548,7.104544,10.1395326
,30.275074,16.989647,8.285028
,28.645502,19.98796,2.44394
,28.427748,15.867373,-1.475643
3002368,25.718977,9.466345,1.584886
,27.941988,9.684099,4.171619
,27.370083,13.606075,-4.371061
,26.271738,12.000434,-2.751064
,19.17916,8.765223,4.157262
,7.274441,7.554411,0.668402
,2.5340896,10.837481,-3.363647
,-1.0792016,16.441671,-2.186337
3002406,-3.3692145,23.304531,14.6214495
